"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aeróbico fácil por asfalto","Run","En principio, una sesión sencilla para no perjudicar al entreno de mañana. Si ves que vas súper fácil puedes hacer 40-45 minutos, pero siempre que no te reste para mañana.","0.5","","2026-04-15","","4486.02001953125","215","288","362.594"," *15/04/2026 David Prado: Hoy me he sentido súper pesado, anoche después del gimnasio tuve cumpleaños en un buffet sushi y me he puesto hasta las trancas, imagino que tenga bastante que ver, si lo llego a saber ceno en mi casa*","0.468398332595825","2.66000008583069","","175","","151","164","","","0.984424789608301","44.83","2","26","0","0","0","","","","","","0","0","3","22","2","0","","","","","4","7"
"1-Test day!!!","Run","-Test de 200m -Test de 400m -Test de 600m -2x3x200m@44-46seg(rec:1min)","","","2026-04-16","Quiero que me hagas hoy esos tres test, para ver el tiempo mínimo que puedes hacer en casa una de esas distancias. Lógicamente calientas primero unos 15 minutos por lo menos, y haces algún progresivo o aceleración, y después ya vas con las pruebas. Y looogicamente hay que descansar bastante entre una y otra, e incluso caminar o trotar un poco entre medias antes de hacer el siguiente test. Tanto para los test como para las series, utilizando el botón de lap de manera manual. Si tienes dudas me preguntas.","8126.2001953125","204","443","626.637"," *16/04/2026 David Prado: Esto ha sido completamente mortal jajaja, la más jodida la de 600 metros cuando llevaba la mitad ya estaba medio muerto, el resto sin dolor y bien*","0.854933619499207","2.64000010490417","","164","","156","200","","","1.08399173108191","99.29","9","30","3","2","7","","","","","","10","2","13","14","3","9","","","","","5","5"
"Descanso","Day Off","","","","2026-04-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico largo por montaña","Run","","1.5","","2026-04-19","A nivel de comida lleva bastante, pero no voy a ponerme muy pesado tampoco con el qué llevar, es una tirada larga un poco ""libre"" en todos los sentidos.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Descanso","Day Off","","","","2026-04-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trail Running","Run","","","","2026-04-20","","10432.0595703125","208","322","909.566"," *20/04/2026 David Prado: Hecho el mismo recorrido que la semana pasada, los primeros 3-4 notaba un pinchazo interno en la rodilla por eso he bajado un poco el ritmo en relación a la semana pasada en el mismo tramo, se me ha ido pasando así que imagino que haya sido una molestia puntual sin más, el resto de genial*","1.21656227111816","2.38199996948242","","164","","153","176","","","0.98902412231164","118.58","5","57","10","0","0","","","","","","3","8","21","22","13","7","","","","","3","3"
"Aeróbico fácil por asfalto","Run","","1","","2026-04-21","","8771.1904296875","224","318","729.749","","0.906136929988861","2.68899989128113","","175","","154","172","","","1.03805128970551","96.82","5","43","6","0","0","","","","","","1","0","3","30","18","2","","","","","3","3"
"Series en cuesta","Run","->1x3x60m en cuesta (rec:2min) ->1x3x100m en cuesta (rec:3min) ->1x3x60m en cuesta (rec:2min) + trote aeróbico hasta completar un entreno total de 45min","","","2026-04-22","","6518.259765625","214","506","552.194"," *22/04/2026 David Prado: La primera vuelta se me ha ido la olla, por lo demás bien sin dolor así que estupendo*","0.716925263404846","2.52600002288818","","171","","147","182","","","1.07812369473403","82.49","8","31","2","1","0","","","","","","2","4","15","12","5","5","","","","","3","5"
"Descanso","Day Off","","","","2026-04-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Series en pista","Run","->3x4x200m@44-46seg(rec:1min) + trote aeróbico hasta completar mínimo 45min","","","2026-04-25","","6392.77978515625","207","392","511.123"," *25/04/2026 David Prado: Ya empezamos con las molestias en el tibial, además he visto esta semana y hay muchísima intensidad de series y cuestas*","0.685853898525238","2.58899998664856","","167","","153","193","","","1.07011159374548","77.16","8","23","3","3","4","","","","","","6","1","12","11","3","8","","","","","3","5"
"Tirada larga con subidas a ritmo sub-LT1","Run","","1.58333333333333","","2026-04-26","Min 60g de hidratos totales, y con productos como los de competir, para hacer bien el entreno, y para usar el entreno para entrenar el estómago también.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Descanso","Day Off","","","","2026-04-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Series","Run","->1x6x200m@44-46seg(rec:1min) ->1x3x400m@1:35-1:40min(rec:1min) ->1x3x200m@42-44seg(rec:30seg)","","","2026-04-28","","8824.080078125","231","436","709.914"," *29/04/2026 David Prado: se me olvido ayer poner elcomentario, las series de 600 eran para matarse, al final me molestaba el tibial y hoy ando tambien con molestias en tibial izquierdo*","0.853461384773254","2.87199997901917","","170","","160","200","","","1.16652300577293","114.2","2","34","6","5","4","","","","","","5","1","7","18","6","12","","","","","5","5"
"Aeróbico fácil por montaña","Run","","1","","2026-04-29","Suavecín que mañana hay jaleo.","8366.5302734375","197","326","724.02","","1.01924419403076","2.27999997138977","","160","","149","171","","","0.945089650264434","90.35","6","53","2","0","0","","","","","","2","11","24","12","9","3","","","","","2","7"
"Test VAM + series en pista","Run","-> Test 1000m ->1x6x200m@42-44seg(rec:1min) ->1x6x200m@44-46(rec:30seg)","","","2026-04-30","Calientas, progresivos activación y todo lo necesario, un test de 1000m a ver en cuánto tiempo te lo sacas, y después las series. Como siempre, todo con el lap.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
